Lat,Long,ISP,Hosting,IP
40.9871,28.8327,CityNet Telekom,false,185.65.205.10
55.6268,8.2876,SYD ENERGI,false,95.154.24.73
50.9729,11.0277,Keyweb AG IP Network,true,87.118.122.51
45.5029,-73.5723,OVH SAS,true,51.79.86.173
47.6036,-122.336,Emerald Onion,true,23.129.64.205
51.0984,17.031,OVH SAS,true,145.239.91.37
48.8218,2.37082,GANDI is an ICANN accredited registrar,true,95.142.161.63
52.3667,4.89454,Markus Koch,false,185.220.101.19
59.3293,18.0686,Portlane Network,false,46.246.38.228
59.3293,18.0686,Portlane Network,false,46.246.45.16
59.3293,18.0686,Portlane Network,false,46.246.63.84
59.3293,18.0686,Portlane Network,false,46.246.40.186
59.3293,18.0686,Portlane Network,false,46.246.42.218
59.3293,18.0686,Portlane Network,false,46.246.43.14
59.3293,18.0686,Portlane Network,false,46.246.62.37
59.3293,18.0686,Portlane Network,false,46.246.61.76
59.3293,18.0686,Portlane Network,false,46.246.61.87
51.0603,13.7384,Zwiebelfreunde e.V.,false,185.220.102.8
52.3702,4.89517,Netwerkvereniging Coloclue,false,94.142.244.16
50.0263,10.5158,F3 Netze e.V.,false,185.220.100.255
50.0263,10.5158,F3 Netze e.V.,false,185.220.100.246
38.8339,-104.821,Emerald Onion,true,23.129.64.182
47.6036,-122.336,Emerald Onion,true,23.129.64.215
49.0536,14.4312,WEDOS Internet,true,31.31.72.24
44.4268,26.1025,Flokinet Ltd,true,185.165.168.168
52.3667,4.89454,Markus Koch,false,185.220.101.17
45.5017,-73.5673,FranTech Solutions,true,198.251.83.193
50.0263,10.5158,F3 Netze e.V.,false,185.220.100.244
52.3795,4.8777,NForce Entertainment B.V.,true,185.107.83.71
43.4368,-80.4894,University of Waterloo,false,198.96.155.3
59.3333,18.05,Privex Inc.,false,185.130.44.108
52.3667,4.89454,Markus Koch,false,185.220.101.129
31.5447,-100.518,Quintex Alliance Consulting,false,199.249.230.119
42.3649,-71.0987,Massachusetts Institute of Technology,false,18.27.197.252
64.1265,-21.8174,Advania Island ehf,true,82.221.131.71
46.0929,21.6925,Netaction Telecom Srl-d,false,89.34.27.59
48.8714,2.32131,Online S.A.S.,true,212.47.229.4
47.0056,28.8575,I.C.S. Trabia-Network S.R.L.,true,178.17.170.135
51.0603,13.7384,Zwiebelfreunde e.V.,false,185.220.102.6
12.9719,77.5937,"DigitalOcean, LLC",true,159.89.174.9
50.0263,10.5158,F3 Netze e.V.,false,185.220.100.250
51.0603,13.7384,Zwiebelfreunde e.V.,false,185.220.102.4
47.3667,8.55,SWITCH,false,195.176.3.19
52.3667,4.89454,Markus Koch,false,185.220.101.3
52.3759,4.8975,IP Volume inc,false,94.102.51.78
-33.9179,151.1836,Choopa,true,45.76.115.159
47.4093,8.54488,Nine Internet Solutions AG,true,94.230.208.148
52.3891,4.6563,LeaseWeb,true,77.81.247.72
51.8713,5.39172,Unithost,true,89.31.57.5
31.5447,-100.518,Quintex Alliance Consulting,false,199.249.230.122
42.3649,-71.0987,Massachusetts Institute of Technology,false,18.27.197.252
52.3759,4.8975,31173 Services AB,true,185.65.134.175
37.3417,-121.9753,"DigitalOcean, LLC",true,157.245.184.13
50.1049,8.6295,31173 Services AB,true,185.213.155.169
48.7034,18.917,"SWAN, a.s.",false,85.248.227.164
32.1472,34.8417,Partner Communications Ltd.,false,212.199.61.5
31.5447,-100.518,Quintex Alliance Consulting,false,199.249.230.70
35.6906,139.77,IDC Frontier Inc.,true,210.140.10.35
49.7582,9.8069,IP- www.accelerated.de,true,185.242.113.224
42.6833,23.3167,ITL LLC,true,195.123.225.112
48.1946,16.3684,Next Layer Telekommunikationsdienstleistungs- und Beratungs GmbH,false,109.70.100.36
48.1946,16.3684,Next Layer Telekommunikationsdienstleistungs- und Beratungs GmbH,false,109.70.100.28
48.9109,2.54615,Online S.A.S.,true,62.210.105.116
40.7433,-74.0079,The Calyx Institute,false,162.247.74.216
60.1719,24.9347,Netplaza Oy,false,185.67.82.114
